#INPUT_TABLE
#Variable ID
#Supplysector
#
region,energy.final.demand,year,income.elasticity
Africa_Eastern,industry,2045,1.028
Africa_Northern,industry,2045,0.711
Africa_Southern,industry,2045,1.06
Africa_Western,industry,2045,1.156
Australia_NZ,industry,2045,0.173
Brazil,industry,2045,0.493
Canada,industry,2045,0.037
Central America and Caribbean,industry,2045,0.534
Central Asia,industry,2045,0.255
China,industry,2045,0.252
EU-12,industry,2045,0.311
EU-15,industry,2045,0.296
Europe_Eastern,industry,2045,0.235
Europe_Non_EU,industry,2045,0.337
European Free Trade Association,industry,2045,0.231
India,industry,2045,0.566
Indonesia,industry,2045,0.398
Japan,industry,2045,0.244
Mexico,industry,2045,0.534
Middle East,industry,2045,0.267
Pakistan,industry,2045,0.672
Russia,industry,2045,0.119
South Africa,industry,2045,0.337
South America_Northern,industry,2045,0.335
South America_Southern,industry,2045,0.572
South Asia,industry,2045,0.773
South Korea,industry,2045,0.137
Southeast Asia,industry,2045,0.392
Taiwan,industry,2045,0.069
Argentina,industry,2045,0.34
Colombia,industry,2045,0.796
USA,industry,2050,0.227
Africa_Eastern,industry,2050,0.947
Africa_Northern,industry,2050,0.681
Africa_Southern,industry,2050,1
Africa_Western,industry,2050,1.093
Australia_NZ,industry,2050,0.169
Brazil,industry,2050,0.462
Canada,industry,2050,0.034
Central America and Caribbean,industry,2050,0.483
Central Asia,industry,2050,0.251
China,industry,2050,0.248
EU-12,industry,2050,0.293
EU-15,industry,2050,0.289
Europe_Eastern,industry,2050,0.23
Europe_Non_EU,industry,2050,0.325
European Free Trade Association,industry,2050,0.23
India,industry,2050,0.487
Indonesia,industry,2050,0.344
Japan,industry,2050,0.243
Mexico,industry,2050,0.494
Middle East,industry,2050,0.259
Pakistan,industry,2050,0.587
Russia,industry,2050,0.113
South Africa,industry,2050,0.332
South America_Northern,industry,2050,0.323
South America_Southern,industry,2050,0.526
South Asia,industry,2050,0.7
South Korea,industry,2050,0.132
Southeast Asia,industry,2050,0.344
Taiwan,industry,2050,0.065
Argentina,industry,2050,0.33
Colombia,industry,2050,0.756
USA,industry,2055,0.225
Africa_Eastern,industry,2055,0.877
Africa_Northern,industry,2055,0.651
Africa_Southern,industry,2055,0.927
Africa_Western,industry,2055,1.025
Australia_NZ,industry,2055,0.166
Brazil,industry,2055,0.434
Canada,industry,2055,0.032
Central America and Caribbean,industry,2055,0.436
Central Asia,industry,2055,0.247
China,industry,2055,0.244
EU-12,industry,2055,0.279
EU-15,industry,2055,0.283
Europe_Eastern,industry,2055,0.225
Europe_Non_EU,industry,2055,0.315
European Free Trade Association,industry,2055,0.228
India,industry,2055,0.413
Indonesia,industry,2055,0.323
Japan,industry,2055,0.241
Mexico,industry,2055,0.457
Middle East,industry,2055,0.258
Pakistan,industry,2055,0.495
Russia,industry,2055,0.108
South Africa,industry,2055,0.327
South America_Northern,industry,2055,0.312
South America_Southern,industry,2055,0.485
South Asia,industry,2055,0.619
South Korea,industry,2055,0.128
Southeast Asia,industry,2055,0.324
Taiwan,industry,2055,0.061
Argentina,industry,2055,0.321
Colombia,industry,2055,0.719
USA,industry,2060,0.224
Africa_Eastern,industry,2060,0.819
Africa_Northern,industry,2060,0.614
Africa_Southern,industry,2060,0.866
Africa_Western,industry,2060,0.941
Australia_NZ,industry,2060,0.163
Brazil,industry,2060,0.4
Canada,industry,2060,0.03
Central America and Caribbean,industry,2060,0.385
Central Asia,industry,2060,0.243
China,industry,2060,0.241
EU-12,industry,2060,0.263
EU-15,industry,2060,0.276
Europe_Eastern,industry,2060,0.22
Europe_Non_EU,industry,2060,0.305
European Free Trade Association,industry,2060,0.227
India,industry,2060,0.35
Indonesia,industry,2060,0.303
Japan,industry,2060,0.239
Mexico,industry,2060,0.415
Middle East,industry,2060,0.256
Pakistan,industry,2060,0.41
Russia,industry,2060,0.103
South Africa,industry,2060,0.319
South America_Northern,industry,2060,0.299
South America_Southern,industry,2060,0.439
South Asia,industry,2060,0.537
South Korea,industry,2060,0.124
Southeast Asia,industry,2060,0.304
Taiwan,industry,2060,0.057
Argentina,industry,2060,0.31
Colombia,industry,2060,0.673
USA,industry,2065,0.222
Africa_Eastern,industry,2065,0.754
Africa_Northern,industry,2065,0.576
Africa_Southern,industry,2065,0.811
Africa_Western,industry,2065,0.872
Australia_NZ,industry,2065,0.16
Brazil,industry,2065,0.366
Canada,industry,2065,0.028
Central America and Caribbean,industry,2065,0.345
Central Asia,industry,2065,0.239
China,industry,2065,0.237
EU-12,industry,2065,0.258
EU-15,industry,2065,0.27
Europe_Eastern,industry,2065,0.211
Europe_Non_EU,industry,2065,0.295
European Free Trade Association,industry,2065,0.225
India,industry,2065,0.329
Indonesia,industry,2065,0.284
Japan,industry,2065,0.237
Mexico,industry,2065,0.373
Middle East,industry,2065,0.254
Pakistan,industry,2065,0.344
Russia,industry,2065,0.096
South Africa,industry,2065,0.312
South America_Northern,industry,2065,0.286
South America_Southern,industry,2065,0.394
South Asia,industry,2065,0.456
South Korea,industry,2065,0.121
Southeast Asia,industry,2065,0.286
Taiwan,industry,2065,0.052
Argentina,industry,2065,0.299
Colombia,industry,2065,0.625
USA,industry,2070,0.22
Africa_Eastern,industry,2070,0.68
Africa_Northern,industry,2070,0.532
Africa_Southern,industry,2070,0.747
Africa_Western,industry,2070,0.813
Australia_NZ,industry,2070,0.156
Brazil,industry,2070,0.342
Canada,industry,2070,0.026
Central America and Caribbean,industry,2070,0.326
Central Asia,industry,2070,0.236
China,industry,2070,0.233
EU-12,industry,2070,0.254
EU-15,industry,2070,0.263
Europe_Eastern,industry,2070,0.202
Europe_Non_EU,industry,2070,0.285
European Free Trade Association,industry,2070,0.223
India,industry,2070,0.31
Indonesia,industry,2070,0.268
Japan,industry,2070,0.236
Mexico,industry,2070,0.342
Middle East,industry,2070,0.252
Pakistan,industry,2070,0.32
Russia,industry,2070,0.084
South Africa,industry,2070,0.302
South America_Northern,industry,2070,0.271
South America_Southern,industry,2070,0.348
South Asia,industry,2070,0.386
South Korea,industry,2070,0.117
Southeast Asia,industry,2070,0.268
Taiwan,industry,2070,0.048
Argentina,industry,2070,0.286
Colombia,industry,2070,0.568
USA,industry,2075,0.216
Africa_Eastern,industry,2075,0.606
Africa_Northern,industry,2075,0.492
Africa_Southern,industry,2075,0.68
Africa_Western,industry,2075,0.752
Australia_NZ,industry,2075,0.154
Brazil,industry,2075,0.327
Canada,industry,2075,0.024
Central America and Caribbean,industry,2075,0.307
Central Asia,industry,2075,0.232
China,industry,2075,0.229
EU-12,industry,2075,0.251
EU-15,industry,2075,0.259
Europe_Eastern,industry,2075,0.193
Europe_Non_EU,industry,2075,0.275
European Free Trade Association,industry,2075,0.221
India,industry,2075,0.291
Indonesia,industry,2075,0.258
Japan,industry,2075,0.234
Mexico,industry,2075,0.326
Middle East,industry,2075,0.249
Pakistan,industry,2075,0.297
Russia,industry,2075,0.074
South Africa,industry,2075,0.293
South America_Northern,industry,2075,0.259
South America_Southern,industry,2075,0.332
South Asia,industry,2075,0.339
South Korea,industry,2075,0.113
Southeast Asia,industry,2075,0.258
Taiwan,industry,2075,0.044
Argentina,industry,2075,0.273
Colombia,industry,2075,0.509
USA,industry,2080,0.212
Africa_Eastern,industry,2080,0.531
Africa_Northern,industry,2080,0.454
Africa_Southern,industry,2080,0.613
Africa_Western,industry,2080,0.689
Australia_NZ,industry,2080,0.151
Brazil,industry,2080,0.312
Canada,industry,2080,0.023
Central America and Caribbean,industry,2080,0.287
Central Asia,industry,2080,0.228
China,industry,2080,0.225
EU-12,industry,2080,0.247
EU-15,industry,2080,0.258
Europe_Eastern,industry,2080,0.185
Europe_Non_EU,industry,2080,0.266
European Free Trade Association,industry,2080,0.219
India,industry,2080,0.274
Indonesia,industry,2080,0.255
Japan,industry,2080,0.232
Mexico,industry,2080,0.309
Middle East,industry,2080,0.247
Pakistan,industry,2080,0.276
Russia,industry,2080,0.066
South Africa,industry,2080,0.284
South America_Northern,industry,2080,0.256
South America_Southern,industry,2080,0.315
South Asia,industry,2080,0.318
South Korea,industry,2080,0.11
Southeast Asia,industry,2080,0.254
Taiwan,industry,2080,0.041
Argentina,industry,2080,0.26
Colombia,industry,2080,0.451
USA,industry,2085,0.208
Africa_Eastern,industry,2085,0.461
Africa_Northern,industry,2085,0.42
Africa_Southern,industry,2085,0.545
Africa_Western,industry,2085,0.627
Australia_NZ,industry,2085,0.148
Brazil,industry,2085,0.298
Canada,industry,2085,0.021
Central America and Caribbean,industry,2085,0.268
Central Asia,industry,2085,0.223
China,industry,2085,0.221
EU-12,industry,2085,0.244
EU-15,industry,2085,0.256
Europe_Eastern,industry,2085,0.177
Europe_Non_EU,industry,2085,0.259
European Free Trade Association,industry,2085,0.216
India,industry,2085,0.259
Indonesia,industry,2085,0.252
Japan,industry,2085,0.23
Mexico,industry,2085,0.293
Middle East,industry,2085,0.245
Pakistan,industry,2085,0.259
Russia,industry,2085,0.058
South Africa,industry,2085,0.276
South America_Northern,industry,2085,0.252
South America_Southern,industry,2085,0.298
South Asia,industry,2085,0.298
South Korea,industry,2085,0.106
Southeast Asia,industry,2085,0.251
Taiwan,industry,2085,0.039
Argentina,industry,2085,0.257
Colombia,industry,2085,0.397
USA,industry,2090,0.204
Africa_Eastern,industry,2090,0.394
Africa_Northern,industry,2090,0.385
Africa_Southern,industry,2090,0.477
Africa_Western,industry,2090,0.563
Australia_NZ,industry,2090,0.145
Brazil,industry,2090,0.284
Canada,industry,2090,0.02
Central America and Caribbean,industry,2090,0.258
Central Asia,industry,2090,0.219
China,industry,2090,0.215
EU-12,industry,2090,0.241
EU-15,industry,2090,0.255
Europe_Eastern,industry,2090,0.169
Europe_Non_EU,industry,2090,0.257
European Free Trade Association,industry,2090,0.212
India,industry,2090,0.255
Indonesia,industry,2090,0.248
Japan,industry,2090,0.229
Mexico,industry,2090,0.278
Middle East,industry,2090,0.243
Pakistan,industry,2090,0.255
Russia,industry,2090,0.051
South Africa,industry,2090,0.267
South America_Northern,industry,2090,0.249
South America_Southern,industry,2090,0.283
South Asia,industry,2090,0.278
South Korea,industry,2090,0.103
Southeast Asia,industry,2090,0.247
Taiwan,industry,2090,0.037
Argentina,industry,2090,0.254
Colombia,industry,2090,0.35
USA,industry,2095,0.2
Africa_Eastern,industry,2095,0.344
Africa_Northern,industry,2095,0.35
Africa_Southern,industry,2095,0.412
Africa_Western,industry,2095,0.498
Australia_NZ,industry,2095,0.142
Brazil,industry,2095,0.272
Canada,industry,2095,0.018
Central America and Caribbean,industry,2095,0.254
Central Asia,industry,2095,0.211
China,industry,2095,0.209
EU-12,industry,2095,0.237
EU-15,industry,2095,0.253
Europe_Eastern,industry,2095,0.161
Europe_Non_EU,industry,2095,0.255
European Free Trade Association,industry,2095,0.209
India,industry,2095,0.251
Indonesia,industry,2095,0.245
Japan,industry,2095,0.227
Mexico,industry,2095,0.264
Middle East,industry,2095,0.24
Pakistan,industry,2095,0.251
Russia,industry,2095,0.045
South Africa,industry,2095,0.259
South America_Northern,industry,2095,0.246
South America_Southern,industry,2095,0.27
South Asia,industry,2095,0.26
South Korea,industry,2095,0.099
Southeast Asia,industry,2095,0.244
Taiwan,industry,2095,0.035
Argentina,industry,2095,0.252
Colombia,industry,2095,0.336
USA,industry,2100,0.196
Africa_Eastern,industry,2100,0.325
Africa_Northern,industry,2100,0.34
Africa_Southern,industry,2100,0.358
Africa_Western,industry,2100,0.444
Australia_NZ,industry,2100,0.139
Brazil,industry,2100,0.26
Canada,industry,2100,0.017
Central America and Caribbean,industry,2100,0.251
Central Asia,industry,2100,0.203
China,industry,2100,0.204
EU-12,industry,2100,0.234
EU-15,industry,2100,0.252
Europe_Eastern,industry,2100,0.154
Europe_Non_EU,industry,2100,0.254
European Free Trade Association,industry,2100,0.206
India,industry,2100,0.248
Indonesia,industry,2100,0.242
Japan,industry,2100,0.225
Mexico,industry,2100,0.258
Middle East,industry,2100,0.238
Pakistan,industry,2100,0.247
Russia,industry,2100,0.04
South Africa,industry,2100,0.258
South America_Northern,industry,2100,0.243
South America_Southern,industry,2100,0.259
South Asia,industry,2100,0.256
South Korea,industry,2100,0.091
Southeast Asia,industry,2100,0.24
Taiwan,industry,2100,0.034
Argentina,industry,2100,0.25
Colombia,industry,2100,0.322
