#INPUT_TABLE
#Variable ID
#StubTechProd
#
region,supplysector,subsector,stub.technology,year,calOutputValue,share.weight.year,subs.share.weight,share.weight
Taiwan,electricity,geothermal,geothermal,1975,0,1975,0,0
Argentina,electricity,geothermal,geothermal,1975,0,1975,0,0
Colombia,electricity,geothermal,geothermal,1975,0,1975,0,0
USA,electricity,nuclear,Gen_II_LWR,1975,0.6606432,1975,1,1
Africa_Eastern,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
Africa_Northern,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
Africa_Southern,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
Africa_Western,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
Australia_NZ,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
Brazil,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
Canada,electricity,nuclear,Gen_II_LWR,1975,0.045252,1975,1,1
Central America and Caribbean,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
Central Asia,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
China,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
EU-12,electricity,nuclear,Gen_II_LWR,1975,0.0215209,1975,1,1
EU-15,electricity,nuclear,Gen_II_LWR,1975,0.3821616,1975,1,1
Europe_Eastern,electricity,nuclear,Gen_II_LWR,1975,0.0513661,1975,1,1
Europe_Non_EU,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
European Free Trade Association,electricity,nuclear,Gen_II_LWR,1975,0.0279396,1975,1,1
India,electricity,nuclear,Gen_II_LWR,1975,0.0094536,1975,1,1
Indonesia,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
Japan,electricity,nuclear,Gen_II_LWR,1975,0.09045,1975,1,1
Mexico,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
Middle East,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
Pakistan,electricity,nuclear,Gen_II_LWR,1975,0.002178,1975,1,1
Russia,electricity,nuclear,Gen_II_LWR,1975,0.0809806,1975,1,1
South Africa,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
South America_Northern,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
South America_Southern,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
South Asia,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
South Korea,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
Southeast Asia,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
Taiwan,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
Argentina,electricity,nuclear,Gen_II_LWR,1975,0.0090612,1975,1,1
Colombia,electricity,nuclear,Gen_II_LWR,1975,0,1975,0,0
USA,electricity,solar,CSP,1975,0,1975,0,0
Africa_Eastern,electricity,solar,CSP,1975,0,1975,0,0
Africa_Northern,electricity,solar,CSP,1975,0,1975,0,0
Africa_Southern,electricity,solar,CSP,1975,0,1975,0,0
Africa_Western,electricity,solar,CSP,1975,0,1975,0,0
Australia_NZ,electricity,solar,CSP,1975,0,1975,0,0
Brazil,electricity,solar,CSP,1975,0,1975,0,0
Canada,electricity,solar,CSP,1975,0,1975,0,0
Central America and Caribbean,electricity,solar,CSP,1975,0,1975,0,0
Central Asia,electricity,solar,CSP,1975,0,1975,0,0
China,electricity,solar,CSP,1975,0,1975,0,0
EU-12,electricity,solar,CSP,1975,0,1975,0,0
EU-15,electricity,solar,CSP,1975,0,1975,0,0
Europe_Eastern,electricity,solar,CSP,1975,0,1975,0,0
Europe_Non_EU,electricity,solar,CSP,1975,0,1975,0,0
European Free Trade Association,electricity,solar,CSP,1975,0,1975,0,0
India,electricity,solar,CSP,1975,0,1975,0,0
Indonesia,electricity,solar,CSP,1975,0,1975,0,0
Japan,electricity,solar,CSP,1975,0,1975,0,0
Mexico,electricity,solar,CSP,1975,0,1975,0,0
Middle East,electricity,solar,CSP,1975,0,1975,0,0
Pakistan,electricity,solar,CSP,1975,0,1975,0,0
Russia,electricity,solar,CSP,1975,0,1975,0,0
South Africa,electricity,solar,CSP,1975,0,1975,0,0
South America_Northern,electricity,solar,CSP,1975,0,1975,0,0
South America_Southern,electricity,solar,CSP,1975,0,1975,0,0
South Asia,electricity,solar,CSP,1975,0,1975,0,0
South Korea,electricity,solar,CSP,1975,0,1975,0,0
Southeast Asia,electricity,solar,CSP,1975,0,1975,0,0
Taiwan,electricity,solar,CSP,1975,0,1975,0,0
Argentina,electricity,solar,CSP,1975,0,1975,0,0
Colombia,electricity,solar,CSP,1975,0,1975,0,0
USA,electricity,solar,PV,1975,0,1975,0,0
Africa_Eastern,electricity,solar,PV,1975,0,1975,0,0
Africa_Northern,electricity,solar,PV,1975,0,1975,0,0
Africa_Southern,electricity,solar,PV,1975,0,1975,0,0
Africa_Western,electricity,solar,PV,1975,0,1975,0,0
Australia_NZ,electricity,solar,PV,1975,0,1975,0,0
Brazil,electricity,solar,PV,1975,0,1975,0,0
Canada,electricity,solar,PV,1975,0,1975,0,0
Central America and Caribbean,electricity,solar,PV,1975,0,1975,0,0
Central Asia,electricity,solar,PV,1975,0,1975,0,0
China,electricity,solar,PV,1975,0,1975,0,0
EU-12,electricity,solar,PV,1975,0,1975,0,0
EU-15,electricity,solar,PV,1975,0,1975,0,0
Europe_Eastern,electricity,solar,PV,1975,0,1975,0,0
Europe_Non_EU,electricity,solar,PV,1975,0,1975,0,0
European Free Trade Association,electricity,solar,PV,1975,0,1975,0,0
India,electricity,solar,PV,1975,0,1975,0,0
Indonesia,electricity,solar,PV,1975,0,1975,0,0
Japan,electricity,solar,PV,1975,0,1975,0,0
Mexico,electricity,solar,PV,1975,0,1975,0,0
Middle East,electricity,solar,PV,1975,0,1975,0,0
Pakistan,electricity,solar,PV,1975,0,1975,0,0
Russia,electricity,solar,PV,1975,0,1975,0,0
South Africa,electricity,solar,PV,1975,0,1975,0,0
South America_Northern,electricity,solar,PV,1975,0,1975,0,0
South America_Southern,electricity,solar,PV,1975,0,1975,0,0
South Asia,electricity,solar,PV,1975,0,1975,0,0
South Korea,electricity,solar,PV,1975,0,1975,0,0
Southeast Asia,electricity,solar,PV,1975,0,1975,0,0
Taiwan,electricity,solar,PV,1975,0,1975,0,0
Argentina,electricity,solar,PV,1975,0,1975,0,0
Colombia,electricity,solar,PV,1975,0,1975,0,0
USA,electricity,wind,wind,1975,0,1975,0,0
Africa_Eastern,electricity,wind,wind,1975,0,1975,0,0
Africa_Northern,electricity,wind,wind,1975,0,1975,0,0
Africa_Southern,electricity,wind,wind,1975,0,1975,0,0
Africa_Western,electricity,wind,wind,1975,0,1975,0,0
Australia_NZ,electricity,wind,wind,1975,0,1975,0,0
Brazil,electricity,wind,wind,1975,0,1975,0,0
Canada,electricity,wind,wind,1975,0,1975,0,0
Central America and Caribbean,electricity,wind,wind,1975,0,1975,0,0
Central Asia,electricity,wind,wind,1975,0,1975,0,0
China,electricity,wind,wind,1975,0,1975,0,0
EU-12,electricity,wind,wind,1975,0,1975,0,0
EU-15,electricity,wind,wind,1975,0,1975,0,0
Europe_Eastern,electricity,wind,wind,1975,0,1975,0,0
Europe_Non_EU,electricity,wind,wind,1975,0,1975,0,0
European Free Trade Association,electricity,wind,wind,1975,0,1975,0,0
India,electricity,wind,wind,1975,0,1975,0,0
Indonesia,electricity,wind,wind,1975,0,1975,0,0
Japan,electricity,wind,wind,1975,0,1975,0,0
Mexico,electricity,wind,wind,1975,0,1975,0,0
Middle East,electricity,wind,wind,1975,0,1975,0,0
Pakistan,electricity,wind,wind,1975,0,1975,0,0
Russia,electricity,wind,wind,1975,0,1975,0,0
South Africa,electricity,wind,wind,1975,0,1975,0,0
South America_Northern,electricity,wind,wind,1975,0,1975,0,0
South America_Southern,electricity,wind,wind,1975,0,1975,0,0
South Asia,electricity,wind,wind,1975,0,1975,0,0
South Korea,electricity,wind,wind,1975,0,1975,0,0
Southeast Asia,electricity,wind,wind,1975,0,1975,0,0
Taiwan,electricity,wind,wind,1975,0,1975,0,0
Argentina,electricity,wind,wind,1975,0,1975,0,0
Colombia,electricity,wind,wind,1975,0,1975,0,0
USA,electricity,geothermal,geothermal,1990,0.0576432,1990,1,1
Africa_Eastern,electricity,geothermal,geothermal,1990,0.0011736,1990,1,1
Africa_Northern,electricity,geothermal,geothermal,1990,0,1990,0,0
Africa_Southern,electricity,geothermal,geothermal,1990,0,1990,0,0
Africa_Western,electricity,geothermal,geothermal,1990,0,1990,0,0
Australia_NZ,electricity,geothermal,geothermal,1990,0.0074664,1990,1,1
Brazil,electricity,geothermal,geothermal,1990,0,1990,0,0
Canada,electricity,geothermal,geothermal,1990,0,1990,0,0
Central America and Caribbean,electricity,geothermal,geothermal,1990,0.002898,1990,1,1
Central Asia,electricity,geothermal,geothermal,1990,0,1990,0,0
China,electricity,geothermal,geothermal,1990,0,1990,0,0
EU-12,electricity,geothermal,geothermal,1990,0,1990,0,0
EU-15,electricity,geothermal,geothermal,1990,0.0116136,1990,1,1
Europe_Eastern,electricity,geothermal,geothermal,1990,0,1990,0,0
Europe_Non_EU,electricity,geothermal,geothermal,1990,0.000288,1990,1,1
European Free Trade Association,electricity,geothermal,geothermal,1990,0.00108,1990,1,1
India,electricity,geothermal,geothermal,1990,0,1990,0,0
Indonesia,electricity,geothermal,geothermal,1990,0.00405,1990,1,1
Japan,electricity,geothermal,geothermal,1990,0.0062676,1990,1,1
Mexico,electricity,geothermal,geothermal,1990,0.0184464,1990,1,1
Middle East,electricity,geothermal,geothermal,1990,0,1990,0,0
Pakistan,electricity,geothermal,geothermal,1990,0,1990,0,0
Russia,electricity,geothermal,geothermal,1990,0.0001008,1990,1,1
South Africa,electricity,geothermal,geothermal,1990,0,1990,0,0
South America_Northern,electricity,geothermal,geothermal,1990,0,1990,0,0
South America_Southern,electricity,geothermal,geothermal,1990,0,1990,0,0
South Asia,electricity,geothermal,geothermal,1990,0,1990,0,0
South Korea,electricity,geothermal,geothermal,1990,0,1990,0,0
Southeast Asia,electricity,geothermal,geothermal,1990,0.0196812,1990,1,1
Taiwan,electricity,geothermal,geothermal,1990,1.08e-05,1990,1,1
Argentina,electricity,geothermal,geothermal,1990,0,1990,0,0
Colombia,electricity,geothermal,geothermal,1990,0,1990,0,0
USA,electricity,nuclear,Gen_II_LWR,1990,2.2013028,1990,1,1
Africa_Eastern,electricity,nuclear,Gen_II_LWR,1990,0,1990,0,0
Africa_Northern,electricity,nuclear,Gen_II_LWR,1990,0,1990,0,0
Africa_Southern,electricity,nuclear,Gen_II_LWR,1990,0,1990,0,0
Africa_Western,electricity,nuclear,Gen_II_LWR,1990,0,1990,0,0
Australia_NZ,electricity,nuclear,Gen_II_LWR,1990,0,1990,0,0
Brazil,electricity,nuclear,Gen_II_LWR,1990,0.0080532,1990,1,1
Canada,electricity,nuclear,Gen_II_LWR,1990,0.2626812,1990,1,1
Central America and Caribbean,electricity,nuclear,Gen_II_LWR,1990,0,1990,0,0
Central Asia,electricity,nuclear,Gen_II_LWR,1990,0,1990,0,0
China,electricity,nuclear,Gen_II_LWR,1990,0,1990,0,0
EU-12,electricity,nuclear,Gen_II_LWR,1990,0.2688192,1990,1,1
EU-15,electricity,nuclear,Gen_II_LWR,1990,2.5926876,1990,1,1
Europe_Eastern,electricity,nuclear,Gen_II_LWR,1990,0.2742444,1990,1,1
Europe_Non_EU,electricity,nuclear,Gen_II_LWR,1990,0,1990,0,0
European Free Trade Association,electricity,nuclear,Gen_II_LWR,1990,0.0850896,1990,1,1
India,electricity,nuclear,Gen_II_LWR,1990,0.0221076,1990,1,1
Indonesia,electricity,nuclear,Gen_II_LWR,1990,0,1990,0,0
Japan,electricity,nuclear,Gen_II_LWR,1990,0.7281792,1990,1,1
Mexico,electricity,nuclear,Gen_II_LWR,1990,0.0105732,1990,1,1
Middle East,electricity,nuclear,Gen_II_LWR,1990,0,1990,0,0
Pakistan,electricity,nuclear,Gen_II_LWR,1990,0.0010548,1990,1,1
Russia,electricity,nuclear,Gen_II_LWR,1990,0.425898,1990,1,1
South Africa,electricity,nuclear,Gen_II_LWR,1990,0.0304164,1990,1,1
South America_Northern,electricity,nuclear,Gen_II_LWR,1990,0,1990,0,0
South America_Southern,electricity,nuclear,Gen_II_LWR,1990,0,1990,0,0
South Asia,electricity,nuclear,Gen_II_LWR,1990,0,1990,0,0
South Korea,electricity,nuclear,Gen_II_LWR,1990,0.1903932,1990,1,1
Southeast Asia,electricity,nuclear,Gen_II_LWR,1990,0,1990,0,0
Taiwan,electricity,nuclear,Gen_II_LWR,1990,0.1183176,1990,1,1
Argentina,electricity,nuclear,Gen_II_LWR,1990,0.0262116,1990,1,1
Colombia,electricity,nuclear,Gen_II_LWR,1990,0,1990,0,0
USA,electricity,solar,CSP,1990,0.0023868,1990,1,1
Africa_Eastern,electricity,solar,CSP,1990,0,1990,0,0
Africa_Northern,electricity,solar,CSP,1990,0,1990,0,0
Africa_Southern,electricity,solar,CSP,1990,0,1990,0,0
Africa_Western,electricity,solar,CSP,1990,0,1990,0,0
Australia_NZ,electricity,solar,CSP,1990,0,1990,0,0
Brazil,electricity,solar,CSP,1990,0,1990,0,0
Canada,electricity,solar,CSP,1990,0,1990,0,0
Central America and Caribbean,electricity,solar,CSP,1990,0,1990,0,0
Central Asia,electricity,solar,CSP,1990,0,1990,0,0
China,electricity,solar,CSP,1990,0,1990,1,0
EU-12,electricity,solar,CSP,1990,0,1990,0,0
EU-15,electricity,solar,CSP,1990,0,1990,1,0
Europe_Eastern,electricity,solar,CSP,1990,0,1990,0,0
Europe_Non_EU,electricity,solar,CSP,1990,0,1990,0,0
European Free Trade Association,electricity,solar,CSP,1990,0,1990,1,0
India,electricity,solar,CSP,1990,0,1990,0,0
Indonesia,electricity,solar,CSP,1990,0,1990,0,0
Japan,electricity,solar,CSP,1990,0,1990,1,0
Mexico,electricity,solar,CSP,1990,0,1990,1,0
Middle East,electricity,solar,CSP,1990,0,1990,0,0
Pakistan,electricity,solar,CSP,1990,0,1990,0,0
Russia,electricity,solar,CSP,1990,0,1990,0,0
South Africa,electricity,solar,CSP,1990,0,1990,0,0
South America_Northern,electricity,solar,CSP,1990,0,1990,0,0
South America_Southern,electricity,solar,CSP,1990,0,1990,0,0
South Asia,electricity,solar,CSP,1990,0,1990,0,0
South Korea,electricity,solar,CSP,1990,0,1990,1,0
Southeast Asia,electricity,solar,CSP,1990,0,1990,0,0
Taiwan,electricity,solar,CSP,1990,0,1990,0,0
Argentina,electricity,solar,CSP,1990,0,1990,0,0
Colombia,electricity,solar,CSP,1990,0,1990,0,0
USA,electricity,solar,PV,1990,1.08e-05,1990,1,1
Africa_Eastern,electricity,solar,PV,1990,0,1990,0,0
Africa_Northern,electricity,solar,PV,1990,0,1990,0,0
Africa_Southern,electricity,solar,PV,1990,0,1990,0,0
Africa_Western,electricity,solar,PV,1990,0,1990,0,0
Australia_NZ,electricity,solar,PV,1990,0,1990,0,0
Brazil,electricity,solar,PV,1990,0,1990,0,0
Canada,electricity,solar,PV,1990,0,1990,0,0
Central America and Caribbean,electricity,solar,PV,1990,0,1990,0,0
Central Asia,electricity,solar,PV,1990,0,1990,0,0
China,electricity,solar,PV,1990,7.2e-06,1990,1,1
EU-12,electricity,solar,PV,1990,0,1990,0,0
EU-15,electricity,solar,PV,1990,4.32e-05,1990,1,1
Europe_Eastern,electricity,solar,PV,1990,0,1990,0,0
Europe_Non_EU,electricity,solar,PV,1990,0,1990,0,0
European Free Trade Association,electricity,solar,PV,1990,3.6e-06,1990,1,1
India,electricity,solar,PV,1990,0,1990,0,0
Indonesia,electricity,solar,PV,1990,0,1990,0,0
Japan,electricity,solar,PV,1990,3.6e-06,1990,1,1
Mexico,electricity,solar,PV,1990,3.6e-06,1990,1,1
Middle East,electricity,solar,PV,1990,0,1990,0,0
Pakistan,electricity,solar,PV,1990,0,1990,0,0
Russia,electricity,solar,PV,1990,0,1990,0,0
South Africa,electricity,solar,PV,1990,0,1990,0,0
South America_Northern,electricity,solar,PV,1990,0,1990,0,0
South America_Southern,electricity,solar,PV,1990,0,1990,0,0
South Asia,electricity,solar,PV,1990,0,1990,0,0
South Korea,electricity,solar,PV,1990,3.6e-06,1990,1,1
Southeast Asia,electricity,solar,PV,1990,0,1990,0,0
Taiwan,electricity,solar,PV,1990,0,1990,0,0
Argentina,electricity,solar,PV,1990,0,1990,0,0
Colombia,electricity,solar,PV,1990,0,1990,0,0
USA,electricity,wind,wind,1990,0.0110376,1990,1,1
Africa_Eastern,electricity,wind,wind,1990,0,1990,0,0
Africa_Northern,electricity,wind,wind,1990,0,1990,0,0
Africa_Southern,electricity,wind,wind,1990,0,1990,0,0
Africa_Western,electricity,wind,wind,1990,0,1990,0,0
Australia_NZ,electricity,wind,wind,1990,0,1990,0,0
Brazil,electricity,wind,wind,1990,0,1990,0,0
Canada,electricity,wind,wind,1990,0,1990,0,0
Central America and Caribbean,electricity,wind,wind,1990,0,1990,0,0
Central Asia,electricity,wind,wind,1990,0,1990,0,0
China,electricity,wind,wind,1990,7.2e-06,1990,1,1
EU-12,electricity,wind,wind,1990,0,1990,0,0
EU-15,electricity,wind,wind,1990,0.0028008,1990,1,1
Europe_Eastern,electricity,wind,wind,1990,0,1990,0,0
Europe_Non_EU,electricity,wind,wind,1990,0,1990,0,0
European Free Trade Association,electricity,wind,wind,1990,0,1990,0,0
India,electricity,wind,wind,1990,0.0001152,1990,1,1
Indonesia,electricity,wind,wind,1990,0,1990,0,0
Japan,electricity,wind,wind,1990,0,1990,0,0
Mexico,electricity,wind,wind,1990,3.6e-06,1990,1,1
Middle East,electricity,wind,wind,1990,3.6e-06,1990,1,1
Pakistan,electricity,wind,wind,1990,0,1990,0,0
Russia,electricity,wind,wind,1990,0,1990,0,0
South Africa,electricity,wind,wind,1990,0,1990,0,0
South America_Northern,electricity,wind,wind,1990,0,1990,0,0
South America_Southern,electricity,wind,wind,1990,0,1990,0,0
South Asia,electricity,wind,wind,1990,0,1990,0,0
South Korea,electricity,wind,wind,1990,0,1990,0,0
Southeast Asia,electricity,wind,wind,1990,0,1990,0,0
Taiwan,electricity,wind,wind,1990,0,1990,0,0
Argentina,electricity,wind,wind,1990,0,1990,0,0
Colombia,electricity,wind,wind,1990,0,1990,0,0
USA,electricity,geothermal,geothermal,2005,0.0604008,2005,1,1
Africa_Eastern,electricity,geothermal,geothermal,2005,0.0036108,2005,1,1
Africa_Northern,electricity,geothermal,geothermal,2005,0,2005,0,0
Africa_Southern,electricity,geothermal,geothermal,2005,0,2005,0,0
Africa_Western,electricity,geothermal,geothermal,2005,0,2005,0,0
Australia_NZ,electricity,geothermal,geothermal,2005,0.0111492,2005,1,1
Brazil,electricity,geothermal,geothermal,2005,0,2005,0,0
Canada,electricity,geothermal,geothermal,2005,0,2005,0,0
Central America and Caribbean,electricity,geothermal,geothermal,2005,0.0094176,2005,1,1
Central Asia,electricity,geothermal,geothermal,2005,0,2005,0,0
China,electricity,geothermal,geothermal,2005,0.000414,2005,1,1
EU-12,electricity,geothermal,geothermal,2005,0,2005,0,0
EU-15,electricity,geothermal,geothermal,2005,0.0194292,2005,1,1
Europe_Eastern,electricity,geothermal,geothermal,2005,0,2005,0,0
Europe_Non_EU,electricity,geothermal,geothermal,2005,0.0003384,2005,1,1
European Free Trade Association,electricity,geothermal,geothermal,2005,0.0059688,2005,1,1
India,electricity,geothermal,geothermal,2005,0,2005,0,0
Indonesia,electricity,geothermal,geothermal,2005,0.0237744,2005,1,1
Japan,electricity,geothermal,geothermal,2005,0.0116136,2005,1,1
Mexico,electricity,geothermal,geothermal,2005,0.0262764,2005,1,1
Middle East,electricity,geothermal,geothermal,2005,0,2005,0,0
Pakistan,electricity,geothermal,geothermal,2005,0,2005,0,0
Russia,electricity,geothermal,geothermal,2005,0.001476,2005,1,1
South Africa,electricity,geothermal,geothermal,2005,0,2005,0,0
South America_Northern,electricity,geothermal,geothermal,2005,0,2005,0,0
South America_Southern,electricity,geothermal,geothermal,2005,0,2005,0,0
South Asia,electricity,geothermal,geothermal,2005,0,2005,0,0
South Korea,electricity,geothermal,geothermal,2005,0,2005,0,0
Southeast Asia,electricity,geothermal,geothermal,2005,0.0356544,2005,1,1
Taiwan,electricity,geothermal,geothermal,2005,0,2005,0,0
Argentina,electricity,geothermal,geothermal,2005,0,2005,0,0
Colombia,electricity,geothermal,geothermal,2005,0,2005,0,0
USA,electricity,nuclear,Gen_II_LWR,2005,2.9186136,2005,1,1
Africa_Eastern,electricity,nuclear,Gen_II_LWR,2005,0,2005,0,0
Africa_Northern,electricity,nuclear,Gen_II_LWR,2005,0,2005,0,0
Africa_Southern,electricity,nuclear,Gen_II_LWR,2005,0,2005,0,0
Africa_Western,electricity,nuclear,Gen_II_LWR,2005,0,2005,0,0
Australia_NZ,electricity,nuclear,Gen_II_LWR,2005,0,2005,0,0
Brazil,electricity,nuclear,Gen_II_LWR,2005,0.035478,2005,1,1
Canada,electricity,nuclear,Gen_II_LWR,2005,0.331344,2005,1,1
Central America and Caribbean,electricity,nuclear,Gen_II_LWR,2005,0,2005,0,0
Central Asia,electricity,nuclear,Gen_II_LWR,2005,0.0097776,2005,1,1
China,electricity,nuclear,Gen_II_LWR,2005,0.1911168,2005,1,1
EU-12,electricity,nuclear,Gen_II_LWR,2005,0.3481848,2005,1,1
EU-15,electricity,nuclear,Gen_II_LWR,2005,3.2435316,2005,1,1
Europe_Eastern,electricity,nuclear,Gen_II_LWR,2005,0.3195216,2005,1,1
Europe_Non_EU,electricity,nuclear,Gen_II_LWR,2005,0,2005,0,0
European Free Trade Association,electricity,nuclear,Gen_II_LWR,2005,0.0840276,2005,1,1
India,electricity,nuclear,Gen_II_LWR,2005,0.0623664,2005,1,1
Indonesia,electricity,nuclear,Gen_II_LWR,2005,0,2005,0,0
Japan,electricity,nuclear,Gen_II_LWR,2005,1.097118,2005,1,1
Mexico,electricity,nuclear,Gen_II_LWR,2005,0.038898,2005,1,1
Middle East,electricity,nuclear,Gen_II_LWR,2005,0,2005,0,0
Pakistan,electricity,nuclear,Gen_II_LWR,2005,0.0089424,2005,1,1
Russia,electricity,nuclear,Gen_II_LWR,2005,0.5380056,2005,1,1
South Africa,electricity,nuclear,Gen_II_LWR,2005,0.0406548,2005,1,1
South America_Northern,electricity,nuclear,Gen_II_LWR,2005,0,2005,0,0
South America_Southern,electricity,nuclear,Gen_II_LWR,2005,0,2005,0,0
South Asia,electricity,nuclear,Gen_II_LWR,2005,0,2005,0,0
South Korea,electricity,nuclear,Gen_II_LWR,2005,0.5284044,2005,1,1
Southeast Asia,electricity,nuclear,Gen_II_LWR,2005,0,2005,0,0
Taiwan,electricity,nuclear,Gen_II_LWR,2005,0.1438992,2005,1,1
Argentina,electricity,nuclear,Gen_II_LWR,2005,0.0247428,2005,1,1
Colombia,electricity,nuclear,Gen_II_LWR,2005,0,2005,0,0
USA,electricity,solar,CSP,2005,0.0021456,2005,1,1
Africa_Eastern,electricity,solar,CSP,2005,0,2005,1,0
Africa_Northern,electricity,solar,CSP,2005,0,2005,0,0
Africa_Southern,electricity,solar,CSP,2005,0,2005,0,0
Africa_Western,electricity,solar,CSP,2005,0,2005,1,0
Australia_NZ,electricity,solar,CSP,2005,3.6e-06,2005,1,1
Brazil,electricity,solar,CSP,2005,0,2005,0,0
Canada,electricity,solar,CSP,2005,0,2005,1,0
Central America and Caribbean,electricity,solar,CSP,2005,0,2005,0,0
Central Asia,electricity,solar,CSP,2005,0,2005,0,0
China,electricity,solar,CSP,2005,0,2005,1,0
EU-12,electricity,solar,CSP,2005,0,2005,1,0
EU-15,electricity,solar,CSP,2005,0,2005,1,0
Europe_Eastern,electricity,solar,CSP,2005,0,2005,0,0
Europe_Non_EU,electricity,solar,CSP,2005,0,2005,0,0
European Free Trade Association,electricity,solar,CSP,2005,0,2005,1,0
India,electricity,solar,CSP,2005,0,2005,1,0
Indonesia,electricity,solar,CSP,2005,0,2005,0,0
Japan,electricity,solar,CSP,2005,0,2005,1,0
Mexico,electricity,solar,CSP,2005,0,2005,1,0
Middle East,electricity,solar,CSP,2005,0,2005,0,0
Pakistan,electricity,solar,CSP,2005,0,2005,0,0
Russia,electricity,solar,CSP,2005,0,2005,0,0
South Africa,electricity,solar,CSP,2005,0,2005,1,0
South America_Northern,electricity,solar,CSP,2005,0,2005,0,0
South America_Southern,electricity,solar,CSP,2005,0,2005,0,0
South Asia,electricity,solar,CSP,2005,0,2005,1,0
South Korea,electricity,solar,CSP,2005,0,2005,1,0
Southeast Asia,electricity,solar,CSP,2005,0,2005,1,0
Taiwan,electricity,solar,CSP,2005,0,2005,1,0
Argentina,electricity,solar,CSP,2005,0,2005,0,0
Colombia,electricity,solar,CSP,2005,0,2005,0,0
USA,electricity,solar,PV,2005,0.0018864,2005,1,1
Africa_Eastern,electricity,solar,PV,2005,3.6e-06,2005,1,1
Africa_Northern,electricity,solar,PV,2005,0,2005,0,0
Africa_Southern,electricity,solar,PV,2005,0,2005,0,0
Africa_Western,electricity,solar,PV,2005,1.44e-05,2005,1,1
Australia_NZ,electricity,solar,PV,2005,0.0002808,2005,1,1
Brazil,electricity,solar,PV,2005,0,2005,0,0
Canada,electricity,solar,PV,2005,6.12e-05,2005,1,1
Central America and Caribbean,electricity,solar,PV,2005,0,2005,0,0
Central Asia,electricity,solar,PV,2005,0,2005,0,0
China,electricity,solar,PV,2005,0.000274,2005,1,1
EU-12,electricity,solar,PV,2005,3.6e-06,2005,1,1
EU-15,electricity,solar,PV,2005,0.0052452,2005,1,1
Europe_Eastern,electricity,solar,PV,2005,0,2005,0,0
Europe_Non_EU,electricity,solar,PV,2005,0,2005,0,0
