#INPUT_TABLE
#Variable ID
#Supplysector
#
region,energy.final.demand,year,price.elasticity
Africa_Eastern,industry,2030,-0.1
Africa_Northern,industry,2030,-0.1
Africa_Southern,industry,2030,-0.1
Africa_Western,industry,2030,-0.1
Australia_NZ,industry,2030,-0.1
Brazil,industry,2030,-0.1
Canada,industry,2030,-0.1
Central America and Caribbean,industry,2030,-0.1
Central Asia,industry,2030,-0.1
China,industry,2030,-0.1
EU-12,industry,2030,-0.1
EU-15,industry,2030,-0.1
Europe_Eastern,industry,2030,-0.1
Europe_Non_EU,industry,2030,-0.1
European Free Trade Association,industry,2030,-0.1
India,industry,2030,-0.1
Indonesia,industry,2030,-0.1
Japan,industry,2030,-0.1
Mexico,industry,2030,-0.1
Middle East,industry,2030,-0.1
Pakistan,industry,2030,-0.1
Russia,industry,2030,-0.1
South Africa,industry,2030,-0.1
South America_Northern,industry,2030,-0.1
South America_Southern,industry,2030,-0.1
South Asia,industry,2030,-0.1
South Korea,industry,2030,-0.1
Southeast Asia,industry,2030,-0.1
Taiwan,industry,2030,-0.1
Argentina,industry,2030,-0.1
Colombia,industry,2030,-0.1
USA,industry,2035,-0.1
Africa_Eastern,industry,2035,-0.1
Africa_Northern,industry,2035,-0.1
Africa_Southern,industry,2035,-0.1
Africa_Western,industry,2035,-0.1
Australia_NZ,industry,2035,-0.1
Brazil,industry,2035,-0.1
Canada,industry,2035,-0.1
Central America and Caribbean,industry,2035,-0.1
Central Asia,industry,2035,-0.1
China,industry,2035,-0.1
EU-12,industry,2035,-0.1
EU-15,industry,2035,-0.1
Europe_Eastern,industry,2035,-0.1
Europe_Non_EU,industry,2035,-0.1
European Free Trade Association,industry,2035,-0.1
India,industry,2035,-0.1
Indonesia,industry,2035,-0.1
Japan,industry,2035,-0.1
Mexico,industry,2035,-0.1
Middle East,industry,2035,-0.1
Pakistan,industry,2035,-0.1
Russia,industry,2035,-0.1
South Africa,industry,2035,-0.1
South America_Northern,industry,2035,-0.1
South America_Southern,industry,2035,-0.1
South Asia,industry,2035,-0.1
South Korea,industry,2035,-0.1
Southeast Asia,industry,2035,-0.1
Taiwan,industry,2035,-0.1
Argentina,industry,2035,-0.1
Colombia,industry,2035,-0.1
USA,industry,2040,-0.1
Africa_Eastern,industry,2040,-0.1
Africa_Northern,industry,2040,-0.1
Africa_Southern,industry,2040,-0.1
Africa_Western,industry,2040,-0.1
Australia_NZ,industry,2040,-0.1
Brazil,industry,2040,-0.1
Canada,industry,2040,-0.1
Central America and Caribbean,industry,2040,-0.1
Central Asia,industry,2040,-0.1
China,industry,2040,-0.1
EU-12,industry,2040,-0.1
EU-15,industry,2040,-0.1
Europe_Eastern,industry,2040,-0.1
Europe_Non_EU,industry,2040,-0.1
European Free Trade Association,industry,2040,-0.1
India,industry,2040,-0.1
Indonesia,industry,2040,-0.1
Japan,industry,2040,-0.1
Mexico,industry,2040,-0.1
Middle East,industry,2040,-0.1
Pakistan,industry,2040,-0.1
Russia,industry,2040,-0.1
South Africa,industry,2040,-0.1
South America_Northern,industry,2040,-0.1
South America_Southern,industry,2040,-0.1
South Asia,industry,2040,-0.1
South Korea,industry,2040,-0.1
Southeast Asia,industry,2040,-0.1
Taiwan,industry,2040,-0.1
Argentina,industry,2040,-0.1
Colombia,industry,2040,-0.1
USA,industry,2045,-0.1
Africa_Eastern,industry,2045,-0.1
Africa_Northern,industry,2045,-0.1
Africa_Southern,industry,2045,-0.1
Africa_Western,industry,2045,-0.1
Australia_NZ,industry,2045,-0.1
Brazil,industry,2045,-0.1
Canada,industry,2045,-0.1
Central America and Caribbean,industry,2045,-0.1
Central Asia,industry,2045,-0.1
China,industry,2045,-0.1
EU-12,industry,2045,-0.1
EU-15,industry,2045,-0.1
Europe_Eastern,industry,2045,-0.1
Europe_Non_EU,industry,2045,-0.1
European Free Trade Association,industry,2045,-0.1
India,industry,2045,-0.1
Indonesia,industry,2045,-0.1
Japan,industry,2045,-0.1
Mexico,industry,2045,-0.1
Middle East,industry,2045,-0.1
Pakistan,industry,2045,-0.1
Russia,industry,2045,-0.1
South Africa,industry,2045,-0.1
South America_Northern,industry,2045,-0.1
South America_Southern,industry,2045,-0.1
South Asia,industry,2045,-0.1
South Korea,industry,2045,-0.1
Southeast Asia,industry,2045,-0.1
Taiwan,industry,2045,-0.1
Argentina,industry,2045,-0.1
Colombia,industry,2045,-0.1
USA,industry,2050,-0.1
Africa_Eastern,industry,2050,-0.1
Africa_Northern,industry,2050,-0.1
Africa_Southern,industry,2050,-0.1
Africa_Western,industry,2050,-0.1
Australia_NZ,industry,2050,-0.1
Brazil,industry,2050,-0.1
Canada,industry,2050,-0.1
Central America and Caribbean,industry,2050,-0.1
Central Asia,industry,2050,-0.1
China,industry,2050,-0.1
EU-12,industry,2050,-0.1
EU-15,industry,2050,-0.1
Europe_Eastern,industry,2050,-0.1
Europe_Non_EU,industry,2050,-0.1
European Free Trade Association,industry,2050,-0.1
India,industry,2050,-0.1
Indonesia,industry,2050,-0.1
Japan,industry,2050,-0.1
Mexico,industry,2050,-0.1
Middle East,industry,2050,-0.1
Pakistan,industry,2050,-0.1
Russia,industry,2050,-0.1
South Africa,industry,2050,-0.1
South America_Northern,industry,2050,-0.1
South America_Southern,industry,2050,-0.1
South Asia,industry,2050,-0.1
South Korea,industry,2050,-0.1
Southeast Asia,industry,2050,-0.1
Taiwan,industry,2050,-0.1
Argentina,industry,2050,-0.1
Colombia,industry,2050,-0.1
USA,industry,2055,-0.1
Africa_Eastern,industry,2055,-0.1
Africa_Northern,industry,2055,-0.1
Africa_Southern,industry,2055,-0.1
Africa_Western,industry,2055,-0.1
Australia_NZ,industry,2055,-0.1
Brazil,industry,2055,-0.1
Canada,industry,2055,-0.1
Central America and Caribbean,industry,2055,-0.1
Central Asia,industry,2055,-0.1
China,industry,2055,-0.1
EU-12,industry,2055,-0.1
EU-15,industry,2055,-0.1
Europe_Eastern,industry,2055,-0.1
Europe_Non_EU,industry,2055,-0.1
European Free Trade Association,industry,2055,-0.1
India,industry,2055,-0.1
Indonesia,industry,2055,-0.1
Japan,industry,2055,-0.1
Mexico,industry,2055,-0.1
Middle East,industry,2055,-0.1
Pakistan,industry,2055,-0.1
Russia,industry,2055,-0.1
South Africa,industry,2055,-0.1
South America_Northern,industry,2055,-0.1
South America_Southern,industry,2055,-0.1
South Asia,industry,2055,-0.1
South Korea,industry,2055,-0.1
Southeast Asia,industry,2055,-0.1
Taiwan,industry,2055,-0.1
Argentina,industry,2055,-0.1
Colombia,industry,2055,-0.1
USA,industry,2060,-0.1
Africa_Eastern,industry,2060,-0.1
Africa_Northern,industry,2060,-0.1
Africa_Southern,industry,2060,-0.1
Africa_Western,industry,2060,-0.1
Australia_NZ,industry,2060,-0.1
Brazil,industry,2060,-0.1
Canada,industry,2060,-0.1
Central America and Caribbean,industry,2060,-0.1
Central Asia,industry,2060,-0.1
China,industry,2060,-0.1
EU-12,industry,2060,-0.1
EU-15,industry,2060,-0.1
Europe_Eastern,industry,2060,-0.1
Europe_Non_EU,industry,2060,-0.1
European Free Trade Association,industry,2060,-0.1
India,industry,2060,-0.1
Indonesia,industry,2060,-0.1
Japan,industry,2060,-0.1
Mexico,industry,2060,-0.1
Middle East,industry,2060,-0.1
Pakistan,industry,2060,-0.1
Russia,industry,2060,-0.1
South Africa,industry,2060,-0.1
South America_Northern,industry,2060,-0.1
South America_Southern,industry,2060,-0.1
South Asia,industry,2060,-0.1
South Korea,industry,2060,-0.1
Southeast Asia,industry,2060,-0.1
Taiwan,industry,2060,-0.1
Argentina,industry,2060,-0.1
Colombia,industry,2060,-0.1
USA,industry,2065,-0.1
Africa_Eastern,industry,2065,-0.1
Africa_Northern,industry,2065,-0.1
Africa_Southern,industry,2065,-0.1
Africa_Western,industry,2065,-0.1
Australia_NZ,industry,2065,-0.1
Brazil,industry,2065,-0.1
Canada,industry,2065,-0.1
Central America and Caribbean,industry,2065,-0.1
Central Asia,industry,2065,-0.1
China,industry,2065,-0.1
EU-12,industry,2065,-0.1
EU-15,industry,2065,-0.1
Europe_Eastern,industry,2065,-0.1
Europe_Non_EU,industry,2065,-0.1
European Free Trade Association,industry,2065,-0.1
India,industry,2065,-0.1
Indonesia,industry,2065,-0.1
Japan,industry,2065,-0.1
Mexico,industry,2065,-0.1
Middle East,industry,2065,-0.1
Pakistan,industry,2065,-0.1
Russia,industry,2065,-0.1
South Africa,industry,2065,-0.1
South America_Northern,industry,2065,-0.1
South America_Southern,industry,2065,-0.1
South Asia,industry,2065,-0.1
South Korea,industry,2065,-0.1
Southeast Asia,industry,2065,-0.1
Taiwan,industry,2065,-0.1
Argentina,industry,2065,-0.1
Colombia,industry,2065,-0.1
USA,industry,2070,-0.1
Africa_Eastern,industry,2070,-0.1
Africa_Northern,industry,2070,-0.1
Africa_Southern,industry,2070,-0.1
Africa_Western,industry,2070,-0.1
Australia_NZ,industry,2070,-0.1
Brazil,industry,2070,-0.1
Canada,industry,2070,-0.1
Central America and Caribbean,industry,2070,-0.1
Central Asia,industry,2070,-0.1
China,industry,2070,-0.1
EU-12,industry,2070,-0.1
EU-15,industry,2070,-0.1
Europe_Eastern,industry,2070,-0.1
Europe_Non_EU,industry,2070,-0.1
European Free Trade Association,industry,2070,-0.1
India,industry,2070,-0.1
Indonesia,industry,2070,-0.1
Japan,industry,2070,-0.1
Mexico,industry,2070,-0.1
Middle East,industry,2070,-0.1
Pakistan,industry,2070,-0.1
Russia,industry,2070,-0.1
South Africa,industry,2070,-0.1
South America_Northern,industry,2070,-0.1
South America_Southern,industry,2070,-0.1
South Asia,industry,2070,-0.1
South Korea,industry,2070,-0.1
Southeast Asia,industry,2070,-0.1
Taiwan,industry,2070,-0.1
Argentina,industry,2070,-0.1
Colombia,industry,2070,-0.1
USA,industry,2075,-0.1
Africa_Eastern,industry,2075,-0.1
Africa_Northern,industry,2075,-0.1
Africa_Southern,industry,2075,-0.1
Africa_Western,industry,2075,-0.1
Australia_NZ,industry,2075,-0.1
Brazil,industry,2075,-0.1
Canada,industry,2075,-0.1
Central America and Caribbean,industry,2075,-0.1
Central Asia,industry,2075,-0.1
China,industry,2075,-0.1
EU-12,industry,2075,-0.1
EU-15,industry,2075,-0.1
Europe_Eastern,industry,2075,-0.1
Europe_Non_EU,industry,2075,-0.1
European Free Trade Association,industry,2075,-0.1
India,industry,2075,-0.1
Indonesia,industry,2075,-0.1
Japan,industry,2075,-0.1
Mexico,industry,2075,-0.1
Middle East,industry,2075,-0.1
Pakistan,industry,2075,-0.1
Russia,industry,2075,-0.1
South Africa,industry,2075,-0.1
South America_Northern,industry,2075,-0.1
South America_Southern,industry,2075,-0.1
South Asia,industry,2075,-0.1
South Korea,industry,2075,-0.1
Southeast Asia,industry,2075,-0.1
Taiwan,industry,2075,-0.1
Argentina,industry,2075,-0.1
Colombia,industry,2075,-0.1
USA,industry,2080,-0.1
Africa_Eastern,industry,2080,-0.1
Africa_Northern,industry,2080,-0.1
Africa_Southern,industry,2080,-0.1
Africa_Western,industry,2080,-0.1
Australia_NZ,industry,2080,-0.1
Brazil,industry,2080,-0.1
Canada,industry,2080,-0.1
Central America and Caribbean,industry,2080,-0.1
Central Asia,industry,2080,-0.1
China,industry,2080,-0.1
EU-12,industry,2080,-0.1
EU-15,industry,2080,-0.1
Europe_Eastern,industry,2080,-0.1
Europe_Non_EU,industry,2080,-0.1
European Free Trade Association,industry,2080,-0.1
India,industry,2080,-0.1
Indonesia,industry,2080,-0.1
Japan,industry,2080,-0.1
Mexico,industry,2080,-0.1
Middle East,industry,2080,-0.1
Pakistan,industry,2080,-0.1
Russia,industry,2080,-0.1
South Africa,industry,2080,-0.1
South America_Northern,industry,2080,-0.1
South America_Southern,industry,2080,-0.1
South Asia,industry,2080,-0.1
South Korea,industry,2080,-0.1
Southeast Asia,industry,2080,-0.1
Taiwan,industry,2080,-0.1
Argentina,industry,2080,-0.1
Colombia,industry,2080,-0.1
USA,industry,2085,-0.1
Africa_Eastern,industry,2085,-0.1
Africa_Northern,industry,2085,-0.1
Africa_Southern,industry,2085,-0.1
Africa_Western,industry,2085,-0.1
Australia_NZ,industry,2085,-0.1
Brazil,industry,2085,-0.1
Canada,industry,2085,-0.1
Central America and Caribbean,industry,2085,-0.1
Central Asia,industry,2085,-0.1
China,industry,2085,-0.1
EU-12,industry,2085,-0.1
EU-15,industry,2085,-0.1
Europe_Eastern,industry,2085,-0.1
Europe_Non_EU,industry,2085,-0.1
European Free Trade Association,industry,2085,-0.1
India,industry,2085,-0.1
Indonesia,industry,2085,-0.1
Japan,industry,2085,-0.1
Mexico,industry,2085,-0.1
Middle East,industry,2085,-0.1
Pakistan,industry,2085,-0.1
Russia,industry,2085,-0.1
South Africa,industry,2085,-0.1
South America_Northern,industry,2085,-0.1
South America_Southern,industry,2085,-0.1
South Asia,industry,2085,-0.1
South Korea,industry,2085,-0.1
Southeast Asia,industry,2085,-0.1
Taiwan,industry,2085,-0.1
Argentina,industry,2085,-0.1
Colombia,industry,2085,-0.1
USA,industry,2090,-0.1
Africa_Eastern,industry,2090,-0.1
Africa_Northern,industry,2090,-0.1
Africa_Southern,industry,2090,-0.1
Africa_Western,industry,2090,-0.1
Australia_NZ,industry,2090,-0.1
Brazil,industry,2090,-0.1
Canada,industry,2090,-0.1
Central America and Caribbean,industry,2090,-0.1
Central Asia,industry,2090,-0.1
China,industry,2090,-0.1
EU-12,industry,2090,-0.1
EU-15,industry,2090,-0.1
Europe_Eastern,industry,2090,-0.1
Europe_Non_EU,industry,2090,-0.1
European Free Trade Association,industry,2090,-0.1
India,industry,2090,-0.1
Indonesia,industry,2090,-0.1
Japan,industry,2090,-0.1
Mexico,industry,2090,-0.1
Middle East,industry,2090,-0.1
Pakistan,industry,2090,-0.1
Russia,industry,2090,-0.1
South Africa,industry,2090,-0.1
South America_Northern,industry,2090,-0.1
South America_Southern,industry,2090,-0.1
South Asia,industry,2090,-0.1
South Korea,industry,2090,-0.1
Southeast Asia,industry,2090,-0.1
Taiwan,industry,2090,-0.1
Argentina,industry,2090,-0.1
Colombia,industry,2090,-0.1
USA,industry,2095,-0.1
Africa_Eastern,industry,2095,-0.1
Africa_Northern,industry,2095,-0.1
Africa_Southern,industry,2095,-0.1
Africa_Western,industry,2095,-0.1
Australia_NZ,industry,2095,-0.1
Brazil,industry,2095,-0.1
Canada,industry,2095,-0.1
Central America and Caribbean,industry,2095,-0.1
Central Asia,industry,2095,-0.1
China,industry,2095,-0.1
EU-12,industry,2095,-0.1
EU-15,industry,2095,-0.1
Europe_Eastern,industry,2095,-0.1
Europe_Non_EU,industry,2095,-0.1
European Free Trade Association,industry,2095,-0.1
India,industry,2095,-0.1
Indonesia,industry,2095,-0.1
Japan,industry,2095,-0.1
Mexico,industry,2095,-0.1
Middle East,industry,2095,-0.1
Pakistan,industry,2095,-0.1
Russia,industry,2095,-0.1
South Africa,industry,2095,-0.1
South America_Northern,industry,2095,-0.1
South America_Southern,industry,2095,-0.1
South Asia,industry,2095,-0.1
South Korea,industry,2095,-0.1
Southeast Asia,industry,2095,-0.1
Taiwan,industry,2095,-0.1
Argentina,industry,2095,-0.1
Colombia,industry,2095,-0.1
USA,industry,2100,-0.1
Africa_Eastern,industry,2100,-0.1
Africa_Northern,industry,2100,-0.1
Africa_Southern,industry,2100,-0.1
Africa_Western,industry,2100,-0.1
Australia_NZ,industry,2100,-0.1
Brazil,industry,2100,-0.1
Canada,industry,2100,-0.1
Central America and Caribbean,industry,2100,-0.1
Central Asia,industry,2100,-0.1
China,industry,2100,-0.1
EU-12,industry,2100,-0.1
EU-15,industry,2100,-0.1
Europe_Eastern,industry,2100,-0.1
Europe_Non_EU,industry,2100,-0.1
European Free Trade Association,industry,2100,-0.1
India,industry,2100,-0.1
Indonesia,industry,2100,-0.1
Japan,industry,2100,-0.1
Mexico,industry,2100,-0.1
Middle East,industry,2100,-0.1
Pakistan,industry,2100,-0.1
Russia,industry,2100,-0.1
South Africa,industry,2100,-0.1
South America_Northern,industry,2100,-0.1
South America_Southern,industry,2100,-0.1
South Asia,industry,2100,-0.1
South Korea,industry,2100,-0.1
Southeast Asia,industry,2100,-0.1
Taiwan,industry,2100,-0.1
Argentina,industry,2100,-0.1
Colombia,industry,2100,-0.1
